,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind speed
0,Bluff,0,AU,1540472747,30,-23.58,149.07,79.41,12.44
1,Busselton,64,AU,1540472747,88,-33.64,115.35,66.85,18.81
2,Ormond Beach,75,US,1540471800,83,29.29,-81.06,73.4,11.41
3,Bambous Virieux,40,MU,1540468800,57,-20.34,57.76,78.8,11.41
4,Anadyr,0,RU,1540468800,85,64.73,177.51,14.0,13.42
5,Rikitea,20,PF,1540472748,100,-23.12,-134.97,70.41,10.42
6,Popondetta,80,PG,1540472748,72,-8.77,148.24,71.17,1.25
7,Irsha,75,UA,1540470600,60,50.72,29.45,42.8,13.42
8,Tumbagaan,64,PH,1540472749,100,5.37,120.31,83.41,10.98
9,Cayenne,75,GF,1540470600,66,4.94,-52.33,86.0,4.7
10,Albany,75,US,1540471860,60,42.65,-73.75,39.2,12.75
11,Saldanha,0,PT,1540472750,52,41.42,-6.55,65.05,1.7
12,Dubai,0,AE,1540471440,43,25.27,55.3,89.6,9.17
13,Bang Saphan,90,TH,1540468800,100,11.21,99.51,77.0,2.24
14,Loiza,40,PR,1540468560,78,18.43,-65.88,80.6,4.05
15,Kiunga,44,PG,1540472751,86,-6.12,141.3,76.89,2.37
16,Hobart,75,AU,1540470600,50,-42.88,147.33,53.6,17.22
17,Provideniya,88,RU,1540472752,100,64.42,-173.23,37.11,29.55
18,Punta Arenas,75,CL,1540468800,81,-53.16,-70.91,44.6,2.24
19,Narsaq,40,GL,1540471800,45,60.91,-46.05,24.8,3.36
20,Port Alfred,0,ZA,1540472753,59,-33.59,26.89,81.25,6.62
21,Ajdabiya,0,LY,1540472753,54,30.75,20.22,78.19,14.45
22,Gigmoto,24,PH,1540472753,100,13.78,124.39,80.44,11.77
23,Basoko,80,CD,1540472754,100,1.23,23.61,75.58,4.38
24,Jamestown,20,AU,1540472640,54,-33.21,138.6,59.79,6.62
25,Vitim,80,RU,1540472755,80,59.44,112.57,23.74,2.93
26,Qaanaaq,76,GL,1540472755,100,77.48,-69.36,7.41,7.74
27,Ushuaia,0,AR,1540468800,75,-54.81,-68.31,42.8,4.05
28,Hithadhoo,80,MV,1540472756,100,-0.6,73.08,82.33,9.19
29,Ponta do Sol,100,BR,1540472756,100,-20.63,-46.0,68.02,4.16
30,Goderich,88,CA,1540472757,91,43.74,-81.71,38.01,3.6
31,Kapaa,40,US,1540468560,78,22.08,-159.32,77.0,14.99
32,Saint-Georges,36,CA,1540472757,93,46.12,-70.67,24.82,6.51
33,Mahebourg,40,MU,1540468800,57,-20.41,57.7,78.8,11.41
34,Olkhovka,0,RU,1540472758,56,53.21,60.61,53.8,10.98
35,Tasiilaq,20,GL,1540471800,53,65.61,-37.64,23.0,1.12
36,Port Elizabeth,1,US,1540472100,80,39.31,-74.98,44.6,6.93
37,Luderitz,0,NA,1540472759,66,-26.65,15.16,76.71,5.5
38,Kaitangata,32,NZ,1540472759,93,-46.28,169.85,40.26,6.17
39,Troitsk,0,RU,1540472759,50,54.08,61.55,54.03,10.87
40,Tuktoyaktuk,0,CA,1540472760,81,69.44,-133.03,28.78,9.75
41,Vilyuysk,68,RU,1540472760,87,63.75,121.63,16.45,2.71
42,Saskylakh,76,RU,1540472760,74,71.97,114.09,10.15,9.64
43,Kangaatsiaq,64,GL,1540472761,100,68.31,-53.46,20.23,12.55
44,Pisco,64,PE,1540468800,88,-13.71,-76.2,62.6,6.93
45,Atar,92,MR,1540468800,26,20.52,-13.05,91.4,20.8
46,Shakiso,0,ET,1540472823,80,5.77,38.9,71.94,3.27
47,Meulaboh,88,ID,1540472823,100,4.14,96.13,80.89,3.83
48,Aklavik,5,CA,1540468800,86,68.22,-135.01,28.4,3.36
49,Saint-Pierre,75,FR,1540470600,71,48.95,4.24,57.2,4.7
50,Kaseda,0,JP,1540468800,87,31.42,130.32,57.2,4.7
51,Balkanabat,0,TM,1540472825,25,39.51,54.36,84.67,3.94
52,Puerto Ayora,75,EC,1540468800,88,-0.74,-90.35,68.0,13.87
53,Xinqing,24,CN,1540472826,76,48.28,129.53,24.73,2.15
54,Saint George,20,GR,1540470000,23,39.45,22.34,60.8,10.29
55,Lucapa,68,AO,1540472827,59,-8.42,20.74,84.49,8.63
56,Lerwick,75,GB,1540471800,87,60.15,-1.15,48.2,6.93
57,Vaini,32,IN,1540472827,96,15.34,74.49,71.98,2.71
58,Ginir,68,ET,1540472828,79,7.14,40.71,69.33,4.38
59,Hambantota,64,LK,1540472828,100,6.12,81.12,77.38,6.17
60,Mae Sai,40,MM,1540468800,100,20.44,99.89,75.2,4.7
61,Biu,8,NG,1540472828,34,10.61,12.19,96.73,5.73
62,Bull Savanna,24,JM,1540472829,86,17.89,-77.59,71.13,3.15
63,Cidreira,92,BR,1540472829,78,-30.17,-50.22,69.55,11.1
64,Castro,36,CL,1540472829,99,-42.48,-73.76,45.7,2.37
65,Avera,1,US,1540470900,76,33.19,-82.53,53.6,4.7
66,Itarema,8,BR,1540472830,60,-2.92,-39.92,88.09,17.58
67,Charlestown,1,US,1540472160,75,41.38,-71.64,44.6,4.7
68,Shimoda,24,JP,1540472831,100,34.7,138.93,66.99,11.99
69,Hilo,90,US,1540471080,100,19.71,-155.08,71.6,4.7
70,Ribeira Grande,20,PT,1540470600,68,38.52,-28.7,71.6,16.11
71,Bethel,90,US,1540468380,100,60.79,-161.76,33.8,4.7
72,Ostersund,75,SE,1540471800,98,63.18,14.64,37.4,13.87
73,Dhule,0,IN,1540472728,35,20.9,74.77,89.17,4.38
74,Kodiak,90,US,1540471980,70,39.95,-94.76,48.2,5.82
75,Srednekolymsk,44,RU,1540472833,72,67.46,153.71,1.06,2.26
76,Atascadero,1,US,1540468560,81,35.49,-120.67,51.8,4.7
77,East London,0,ZA,1540468800,65,-33.02,27.91,77.0,10.29
78,Cape Town,0,ZA,1540468800,54,-33.93,18.42,78.8,13.87
79,Airai,0,TL,1540472834,70,-8.93,125.41,71.08,1.81
80,Saint-Philippe,90,CA,1540469700,69,45.36,-73.48,35.6,10.29
81,Butaritari,56,KI,1540472834,100,3.07,172.79,84.99,5.73
82,Barrow,76,AR,1540472835,100,-38.31,-60.23,51.82,4.16
83,Lorengau,32,PG,1540472835,100,-2.02,147.27,84.09,4.72
84,Carnarvon,0,ZA,1540472835,8,-30.97,22.13,86.29,9.42
85,Dikson,48,RU,1540472896,100,73.51,80.55,22.98,19.37
86,Vardo,5,US,1540472100,93,39.62,-77.74,41.0,3.6
87,Souillac,0,FR,1540470600,60,45.6,-0.6,68.0,9.17
88,Nova Serrana,68,BR,1540472897,71,-19.88,-44.98,73.74,4.61
89,Kilindoni,64,TZ,1540472897,94,-7.91,39.67,80.8,18.03
90,Namibe,20,AO,1540472897,97,-15.19,12.15,76.84,7.63
91,Andros,0,GR,1540470000,44,37.83,24.93,62.6,16.11
92,Mataura,64,NZ,1540472898,90,-46.19,168.86,39.67,5.5
93,Talnakh,92,RU,1540472898,88,69.49,88.39,26.49,5.17
94,Akhnur,40,IN,1540472400,44,32.87,74.73,75.2,4.7
95,Jinchang,0,CN,1540472898,61,38.52,102.19,32.38,6.62
96,Mangrol,0,IN,1540472899,28,25.33,76.51,85.89,5.28
97,Severo-Kurilsk,92,RU,1540472899,95,50.68,156.12,45.07,17.13
98,Hamilton,90,CA,1540468800,86,43.26,-79.87,39.2,4.7
99,Upernavik,0,GL,1540472899,100,72.79,-56.15,17.31,12.1
100,Kaspiyskiy,56,RU,1540472899,72,45.39,47.37,69.19,11.43
101,Goya,64,AR,1540472900,71,-29.14,-59.27,73.83,11.1
102,Burnie,8,AU,1540472900,100,-41.05,145.91,53.8,17.25
103,Comodoro Rivadavia,75,AR,1540468800,87,-45.87,-67.48,50.0,3.94
104,Ludvika,40,SE,1540471800,65,60.15,15.18,41.0,12.75
105,Shikarpur,8,PK,1540472901,41,27.96,68.63,86.61,4.83
106,Zhigansk,32,RU,1540472901,62,66.77,123.37,4.26,1.92
107,Ulladulla,56,AU,1540468800,100,-35.36,150.48,57.2,6.93
108,Pringsewu,44,ID,1540472902,85,-5.36,104.98,75.63,1.7
109,Betsiamites,90,CA,1540468800,59,48.94,-68.65,35.6,10.29
110,Najran,20,SA,1540468800,22,17.54,44.22,91.4,4.7
111,Hermanus,0,ZA,1540472902,28,-34.42,19.24,87.91,4.27
112,Wilmington,20,US,1540472100,60,39.75,-75.55,42.8,5.82
113,Ratnagiri,0,IN,1540472606,89,16.98,73.3,87.33,7.18
114,Leningradskiy,64,RU,1540472904,100,69.38,178.42,27.93,20.83
115,Tuatapere,92,NZ,1540472904,100,-46.13,167.69,43.72,6.4
116,Sao Filipe,12,CV,1540472905,93,14.9,-24.5,80.08,14.23
117,Calvinia,0,ZA,1540472905,14,-31.47,19.78,91.96,6.73
118,Yenagoa,76,NG,1540472905,97,4.92,6.26,78.64,2.82
119,Katsuura,0,JP,1540468800,81,33.93,134.5,53.6,3.36
120,Aswan,0,EG,1540468800,22,24.09,32.9,98.6,11.41
121,Evensk,88,RU,1540472907,100,61.92,159.24,26.04,8.63
122,New Norfolk,75,AU,1540470600,50,-42.78,147.06,53.6,17.22
123,Biak,0,ID,1540472907,84,-0.91,122.88,79.68,3.49
124,Yulara,88,AU,1540468800,32,-25.24,130.99,84.2,10.29
125,Chuy,56,UY,1540472908,89,-33.69,-53.46,67.3,8.41
126,Waiouru,88,NZ,1540472908,95,-39.48,175.67,47.32,6.96
127,Tadine,100,NC,1540472908,95,-21.55,167.88,74.77,13.44
128,Chokurdakh,20,RU,1540472909,61,70.62,147.9,1.51,4.27
129,Avarua,75,CK,1540468800,88,-21.21,-159.78,71.6,10.29
130,College,1,US,1540468680,100,64.86,-147.8,28.4,6.4
131,Qaqortoq,40,GL,1540471800,45,60.72,-46.03,24.8,3.36
132,Punta Gorda,1,US,1540470900,88,26.93,-82.05,69.8,6.93
133,Shache,0,CN,1540472970,38,38.42,77.24,55.56,4.72
134,Iralaya,40,HN,1540468800,83,15.0,-83.23,80.6,4.7
135,Yellowknife,75,CA,1540468800,86,62.45,-114.38,30.2,12.75
136,Pevek,48,RU,1540472971,100,69.7,170.27,12.67,1.92
137,Kavieng,100,PG,1540472971,100,-2.57,150.8,82.74,16.91
138,Husavik,0,CA,1540472972,91,50.56,-96.99,34.68,5.5
139,Byron Bay,40,AU,1540470600,82,-28.65,153.62,68.0,4.7
140,Komsomolskiy,64,RU,1540472972,88,67.55,63.78,25.63,4.61
141,Dezhou,0,CN,1540472687,39,37.45,116.31,62.71,15.9
142,Codrington,0,AU,1540472973,95,-28.95,153.24,63.61,2.48
143,Bonthe,0,SL,1540472973,58,7.53,-12.5,92.14,5.28
144,Clyde River,40,CA,1540471140,92,70.47,-68.59,14.0,2.24
145,Henties Bay,0,NA,1540472974,62,-22.12,14.28,81.79,5.39
146,Bonavista,92,CA,1540472974,95,48.65,-53.11,47.14,30.11
147,Awjilah,20,LY,1540472974,50,29.14,21.3,79.59,12.55
148,Inhambane,20,MZ,1540468800,54,-23.87,35.38,80.6,11.41
149,Lagoa,0,PT,1540470600,69,37.14,-8.45,73.4,10.29
150,Luganville,100,VU,1540472975,100,-15.51,167.18,77.56,9.75
151,Te Anau,88,NZ,1540472874,100,-45.41,167.72,39.18,3.27
152,Christchurch,92,NZ,1540470600,93,-43.53,172.64,46.4,4.7
153,Savannah Bight,76,HN,1540472976,99,16.45,-85.85,82.11,4.05
154,Russell,88,AR,1540468800,72,-33.01,-68.8,59.0,11.41
155,Sisimiut,88,GL,1540472976,100,66.94,-53.67,6.37,1.92
156,Progreso,20,UY,1540472400,68,-34.68,-56.22,66.2,8.05
157,Marrakesh,40,MA,1540470600,50,31.63,-7.99,75.2,19.46
158,Norman Wells,40,CA,1540468800,92,65.28,-126.83,26.6,6.93
159,Gisborne,36,NZ,1540472882,62,-38.66,178.02,57.4,7.52
160,Grootfontein,20,NA,1540468800,21,-19.56,18.1,84.2,5.82
161,Mbini,40,GQ,1540468800,79,1.58,9.62,86.0,8.05
162,North Bend,20,US,1540472160,100,43.41,-124.22,48.2,3.36
163,Klaksvik,20,FO,1540471800,100,62.23,-6.59,41.0,11.41
164,New Braunfels,90,US,1540472520,87,29.7,-98.13,62.6,11.41
165,Abatskoye,0,RU,1540472979,72,56.29,70.46,44.44,9.31
166,Abonnema,75,NG,1540468800,70,4.71,6.79,87.8,11.41
167,Nibbar,40,TN,1540468800,53,36.29,8.77,75.2,5.73
168,Starobachaty,24,RU,1540472980,67,54.24,86.21,34.81,6.17
169,Castiglione del Lago,0,IT,1540468500,49,43.13,12.05,71.6,3.36
170,Ust-Barguzin,12,RU,1540472981,87,53.41,109.03,24.78,5.17
171,Mar del Plata,80,AR,1540472981,96,-46.43,-67.52,47.64,4.38
172,Kokstad,0,ZA,1540473041,23,-30.55,29.42,82.51,3.04
173,Zhanakorgan,20,KZ,1540472792,44,43.91,67.25,65.64,3.27
174,Constantine,20,DZ,1540472400,59,36.36,6.61,68.0,2.24
175,Atuona,92,PF,1540473042,100,-9.8,-139.03,79.27,16.69
176,Portland,90,US,1540471980,76,45.52,-122.67,55.4,9.17
177,Salalah,0,OM,1540468200,62,17.01,54.1,86.0,12.75
178,Imbituba,75,BR,1540468800,100,-28.24,-48.67,66.2,9.17
179,Makokou,56,GA,1540473043,74,0.56,12.85,83.46,2.93
180,Novoagansk,88,RU,1540473043,100,61.94,76.66,38.05,2.71
181,Siniscola,0,IT,1540470000,61,40.57,9.69,77.0,5.82
182,Nome,90,US,1540472100,93,30.04,-94.42,66.2,6.93
183,Opunake,0,NZ,1540473044,100,-39.45,173.86,55.24,15.46
184,Mayo,20,CA,1540468800,74,63.59,-135.9,33.8,5.82
185,Bawal,0,IN,1540472997,25,28.07,76.58,84.63,2.93
186,Rantepao,24,ID,1540473045,72,-2.97,119.9,73.42,2.37
187,Georgetown,20,GY,1540468800,83,6.8,-58.16,82.4,6.93
188,Fare,24,PF,1540473045,100,-16.7,-151.02,79.54,11.32
189,Severobaykalsk,24,RU,1540473046,64,55.65,109.32,11.14,2.15
190,Thompson,90,CA,1540468800,79,55.74,-97.86,28.4,10.29
191,Luebo,20,CD,1540473047,79,-5.35,21.42,81.25,1.81
192,Puerto Rondon,44,CO,1540473047,100,6.28,-71.1,72.66,4.5
193,Lebu,0,ET,1540473048,33,8.96,38.73,74.19,10.42
194,Van Buren,40,US,1540470120,64,47.16,-67.94,32.0,24.16
195,Palkonda,36,IN,1540473048,51,18.6,83.76,84.76,5.84
196,Vostok,0,RU,1540473048,82,46.45,135.83,28.38,2.82
197,Arraial do Cabo,90,BR,1540468800,94,-22.97,-42.02,73.4,12.75
198,Caernarfon,90,GB,1540471800,81,53.14,-4.27,51.8,10.29
199,Limon,20,US,1540468500,80,39.26,-103.69,41.0,10.29
200,Okha,88,RU,1540473049,99,53.59,142.95,39.31,19.48
201,Hit,24,IQ,1540473050,48,33.64,42.83,85.48,11.99
202,Barrhead,12,CA,1540473050,77,54.12,-114.4,36.97,10.54
203,Tabas,0,IR,1540468800,16,33.6,56.92,87.8,2.24
204,Nieuw Amsterdam,20,SR,1540472400,66,5.88,-55.08,87.8,4.7
205,Weligama,76,LK,1540473051,91,5.97,80.42,81.03,9.64
206,Sumbe,8,AO,1540473051,91,-11.2,13.84,81.25,8.3
207,Praia da Vitoria,40,PT,1540468800,83,38.73,-27.07,69.8,16.02
208,Naze,75,NG,1540468800,70,5.43,7.07,87.8,11.41
209,Opuwo,0,NA,1540473052,62,-18.06,13.84,76.75,11.77
210,Margate,75,AU,1540470600,50,-43.03,147.26,53.6,17.22
211,Khandyga,88,RU,1540473121,89,62.65,135.58,20.41,3.94
212,Tarakan,12,ID,1540473053,93,3.3,117.63,82.6,5.95
213,Shahreza,0,IR,1540473053,24,32.01,51.87,67.84,6.4
214,Honningsvag,40,NO,1540471800,74,70.98,25.97,37.4,9.17
215,Kita,75,JP,1540472160,72,35.76,139.74,64.4,5.17
216,Sale,90,GB,1540471800,81,53.42,-2.32,53.6,8.05
217,Roald,75,NO,1540471800,75,62.58,6.12,44.6,9.17
218,Turukhansk,80,RU,1540473115,92,65.8,87.96,31.39,14.9
219,Kavaratti,8,IN,1540473116,100,10.57,72.64,83.46,2.15
220,Vanimo,56,PG,1540473116,100,-2.67,141.3,84.58,4.72
221,Sola,75,FI,1540471800,80,62.78,29.36,33.8,3.36
222,Pachino,0,IT,1540471800,44,36.72,15.09,77.0,5.82
223,Altoona,75,US,1540472100,69,40.52,-78.39,37.4,6.93
224,Bambanglipuro,92,ID,1540473118,91,-7.95,110.28,75.18,4.16
225,Ahipara,64,NZ,1540473119,98,-35.17,173.16,57.4,9.64
226,La Palma,80,CO,1540473119,92,5.36,-74.39,67.66,2.15
227,Kem,68,UG,1540473120,48,2.68,33.77,84.99,5.39
228,Mount Gambier,0,AU,1540472866,87,-37.83,140.78,47.68,3.38
229,Longyearbyen,40,NO,1540471800,68,78.22,15.63,28.4,16.11
230,Tynda,24,RU,1540473120,76,55.15,124.74,18.16,3.6
231,Ilulissat,75,GL,1540471800,33,69.22,-51.1,15.8,6.93
232,Kindu,92,CD,1540473121,100,-2.95,25.92,70.9,2.71
233,Gidam,0,IN,1540473121,39,18.98,81.4,77.92,7.07
234,Samana,90,EC,1540468800,100,0.12,-76.97,73.4,4.7
235,Xam Nua,44,LA,1540473122,100,20.42,104.04,66.94,1.7
236,Silvania,40,CO,1540468800,93,4.4,-74.39,55.4,3.36
237,Geraldton,75,CA,1540469100,92,49.72,-86.95,28.4,3.27
238,Isangel,88,VU,1540473124,100,-19.55,169.27,75.94,16.02
239,Laguna,68,MX,1540473124,77,27.52,-110.01,67.21,2.26
240,Half Moon Bay,90,US,1540471200,100,37.46,-122.43,57.2,3.36
241,Yining,92,CN,1540473125,98,29.04,114.56,64.6,2.48
242,Gat,0,SN,1540468800,47,14.69,-16.54,95.0,4.7
243,Novyy Urgal,0,RU,1540473127,78,51.07,132.56,25.23,2.59
244,Alta Floresta,20,BR,1540473127,89,-9.87,-56.08,77.02,1.36
245,Assiniboia,0,CA,1540473128,59,49.63,-105.99,39.18,10.54
246,Victoria,75,BN,1540472400,88,5.28,115.24,80.6,4.38
247,Torbay,90,CA,1540470900,93,47.66,-52.73,48.2,17.22
248,Dudinka,92,RU,1540472917,97,69.41,86.18,27.79,7.74
249,Nanortalik,32,GL,1540473129,96,60.14,-45.24,31.57,16.13
250,Safranbolu,75,TR,1540468980,93,41.25,32.69,48.2,8.05
251,Sao Joao da Barra,90,BR,1540468800,83,-21.64,-41.05,75.2,9.17
252,Valparaiso,90,US,1540471500,80,41.47,-87.06,41.0,4.7
253,Banda Aceh,56,ID,1540473130,96,5.56,95.32,76.48,1.36
254,Gamba,0,CN,1540473130,53,28.28,88.52,15.46,3.94
255,Esperance,20,TT,1540468800,79,10.24,-61.45,84.2,9.17
256,Kenai,90,US,1540468560,70,60.55,-151.26,46.4,16.11
257,Jumla,64,NP,1540473131,90,29.28,82.18,33.19,1.03
258,Komsomolsk-na-Amure,0,RU,1540473131,73,50.55,137.02,35.71,6.73
259,Maniitsoq,64,GL,1540473132,100,65.42,-52.9,19.42,8.41
260,Tshela,48,CD,1540473132,91,-4.99,12.94,80.94,3.94
261,Chifeng,88,CN,1540473132,66,42.27,118.96,40.26,9.42
262,Noumea,20,NC,1540470600,78,-22.28,166.46,71.6,6.96
263,Flinders,36,AU,1540468800,100,-34.58,150.85,57.2,6.93
264,Bubaque,0,GW,1540468800,62,11.28,-15.83,89.6,5.82
265,Kodinsk,92,RU,1540473193,79,58.6,99.18,33.33,6.29
266,Poum,0,MK,1540470600,22,41.28,20.71,53.6,6.93
267,Port Lincoln,0,AU,1540473194,98,-34.72,135.86,55.24,12.1
268,Alugan,0,PH,1540473194,90,12.22,125.48,80.76,11.88
269,Eureka,90,US,1540470900,100,40.8,-124.16,48.2,8.05
270,Tautira,40,PF,1540470600,78,-17.73,-149.15,77.0,5.82
271,Shaunavon,20,CA,1540473195,41,49.65,-108.41,42.82,12.66
272,Tabora,64,TZ,1540473195,39,-5.02,32.81,79.23,11.77
273,Dolinsk,36,RU,1540468800,75,47.32,142.8,42.8,2.24
274,Mogwase,0,ZA,1540473196,20,-25.28,27.22,86.88,5.17
275,Vung Tau,20,VN,1540472400,79,10.35,107.08,84.2,6.93
276,Cabo San Lucas,75,MX,1540468500,73,22.89,-109.91,71.6,9.17
277,Bulungu,68,CD,1540473197,77,-4.54,18.6,85.44,4.05
278,Adrar,0,DZ,1540468800,26,27.87,-0.29,78.8,19.46
279,Khatanga,88,RU,1540473197,68,71.98,102.47,11.91,2.82
280,Nkayi,64,CG,1540473197,75,-4.18,13.29,83.86,2.93
